",,Sala,Sala,Sala,Sala,Sala,Sala"
"Player,Tm,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27"
"Stephen Curry\curryst01,GSW,$45780966,$48070014,$51915615,$55761216,$59606817,"
"John Wall\walljo01,HOU,$44310840,$47366760,,,,"
"Russell Westbrook\westbru01,LAL,$44211146,$47063478,,,,"
"James Harden\hardeja01,PHI,$43848000,$46872000,,,,"
"LeBron James\jamesle01,LAL,$41180544,$44474988,,,,"
"Kevin Durant\duranke01,BRK,$40918900,$42969845,$42969845,$49856021,$53282609,"
"Giannis Antetokounmpo\antetgi01,MIL,$39344970,$42492568,$45640165,$48787763,$51935360,"
"Paul George\georgpa01,LAC,$39344970,$42492568,$45640165,$48787763,,"
"Damian Lillard\lillada01,POR,$39344900,$42492492,$45640084,$48787676,,"
"Kawhi Leonard\leonaka01,LAC,$39344900,$42492492,$45640084,$48787676,,"
"Klay Thompson\thompkl01,GSW,$37980720,$40600080,$43219440,,,"
"Jimmy Butler\butleji01,MIA,$36016200,$37653300,$45183960,$48798677,$52413394,"
"Tobias Harris\harrito02,PHI,$36000000,$38482759,$40965517,,,"
"Khris Middleton\middlkh01,MIL,$35500000,$37948276,$40396552,,,"
"Anthony Davis\davisan02,LAL,$35361360,$37980720,$40600080,$43219440,,"
"Rudy Gobert\goberru01,UTA,$35344828,$38172414,$41000000,$43827587,$46655173,"
"Kyrie Irving\irvinky01,BRK,$34916200,$36503300,,,,"
"Bradley Beal\bealbr01,WAS,$34502130,$37262300,,,,"
"Kristaps Porzingis\porzikr01,WAS,$31650600,$33833400,$36016200,,,"
"Devin Booker\bookede01,PHO,$31610000,$33790000,$35970000,,,"
"Karl-Anthony Towns\townska01,MIN,$31610000,$33790000,$35970000,,,"
"Jamal Murray\murraja01,DEN,$31590000,$33930000,$36270000,$38610000,,"
"Ben Simmons\simmobe01,BRK,$31590000,$33930000,$36270000,$38610000,,"
"Joel Embiid\embiijo01,PHI,$31579390,$33616770,$43732500,$47231100,$50729700,$54228300"
"Andrew Wiggins\wiggian01,GSW,$31579390,$33616770,,,,"
"Pascal Siakam\siakapa01,TOR,$31320000,$33640000,$35960000,,,"
"Kevin Love\loveke01,CLE,$31300000,$28900000,,,,"
"CJ McCollum\mccolcj01,NOP,$30864198,$33333333,$35802469,,,"
"Chris Paul\paulch01,PHO,$30800000,$28400000,$30800000,$30000000,,"
"Nikola Jokic\jokicni01,DEN,$30510423,$32478837,,,,"
"Jrue Holiday\holidjr01,MIL,$30133333,$32393333,$34653333,$36913333,,"
"D'Angelo Russell\russeda01,MIN,$30013500,$31377750,,,,"
"Gordon Hayward\haywago01,CHO,$29900000,$30100000,$31500000,,,"
"Blake Griffin\griffbl01,DET,$32405817,,,,,"
"Brandon Ingram\ingrabr01,NOP,$29467800,$31650600,$33833400,$36016200,,"
"De'Aaron Fox\foxde01,SAC,$28103550,$30351834,$32600118,$34848402,$37096686,"
"Bam Adebayo\adebaba01,MIA,$28103550,$30351834,$32600118,$34848402,$37096686,"
"Donovan Mitchell\mitchdo01,UTA,$28103550,$30351834,$32600118,$34848402,$37096686,"
"Jayson Tatum\tatumja01,BOS,$28103550,$30351834,$32600118,$34848402,$37096686,"
"Al Horford\horfoal01,BOS,$27000000,$26500000,,,,"
"Kyle Lowry\lowryky01,MIA,$26984128,$28333334,$29682540,,,"
"Kemba Walker\walkeke02,OKC,$34967442,$36596549,,,,"
"DeMar DeRozan\derozde01,CHI,$26000000,$27300000,$28600000,,,"
"Jaylen Brown\brownja02,BOS,$24830357,$26669643,$28508929,,,"
"Draymond Green\greendr01,GSW,$24026712,$25806469,$27586225,,,"
"Nikola Vucevic\vucevni01,CHI,$24000000,$22000000,,,,"
"John Collins\collijo01,ATL,$23000000,$23500000,$25340000,$26580000,$26580000,"
"Buddy Hield\hieldbu01,IND,$22477273,$20522727,$18568182,,,"
"Malcolm Brogdon\brogdma01,IND,$21700000,$22600000,$21634615,$23365385,,"
"Tim Hardaway Jr.\hardati02,DAL,$21306816,$19602273,$17897728,$16193183,,"
"Mike Conley\conlemi01,UTA,$21000000,$22680000,$24360000,,,"
"Gary Harris\harriga01,ORL,$20482143,,,,,"
"Danilo Gallinari\gallida01,ATL,$20475000,$21450000,,,,"
"Harrison Barnes\barneha02,SAC,$20284091,$18352273,,,,"
"Jarrett Allen\allenja01,CLE,$20000000,$20000000,$20000000,$20000000,$20000000,"
"Jerami Grant\grantje01,DET,$20000000,$20952381,,,,"
"Julius Randle\randlju01,NYK,$19800000,$23760000,$25660800,$27561600,$29462400,"
"Fred VanVleet\vanvlfr01,TOR,$19675926,$21250000,$22824074,,,"
"Zach LaVine\lavinza01,CHI,$19500000,,,,,"
"Goran Dragic\dragigo01,SAS,$20168742,,,,,"
"Bojan Bogdanovic\bogdabo02,UTA,$18700000,$19550000,,,,"
"Lonzo Ball\balllo01,CHI,$18604651,$19534884,$20465117,$21395348,,"
"Domantas Sabonis\sabondo01,SAC,$18562500,$19937500,$21312500,,,"
"Eric Gordon\gordoer01,HOU,$18218818,$19568360,$20917902,,,"
"Evan Fournier\fournev01,NYK,$18139535,$19046512,$19953488,$20860465,,"
"Eric Bledsoe\bledser01,POR,$18125000,$19375000,,,,"
"Myles Turner\turnemy01,IND,$18000000,$18000000,,,,"
"Bogdan Bogdanovic\bogdabo01,ATL,$18000000,$18000000,$18000000,,,"
"Terry Rozier\roziete01,CHO,$17905263,$21486316,$23205221,$24924126,$26643031,"
"Ricky Rubio\rubiori01,IND,$17809524,,,,,"
"Caris LeVert\leverca01,CLE,$17500000,$18796296,,,,"
"Jonathan Isaac\isaacjo01,ORL,$17400000,$17400000,$17400000,$17400000,,"
"Joe Harris\harrijo01,BRK,$17357143,$18642857,$19928571,,,"
"Spencer Dinwiddie\dinwisp01,DAL,$17142857,$18000000,$18857143,,,"
"Clint Capela\capelca01,ATL,$17103448,$18206897,$20616000,$22265280,,"
"Steven Adams\adamsst01,MEM,$17073171,$17926829,,,,"
"Markelle Fultz\fultzma01,ORL,$16500000,$16500000,$17000000,,,"
"Aaron Gordon\gordoaa01,DEN,$16409091,$19690909,$21266182,$22841455,$22841455,"
"OG Anunoby\anunoog01,TOR,$16071429,$17357143,$18642857,$19928571,,"
"Davis Bertans\bertada01,DAL,$16000000,$16000000,$17000000,$16000000,,"
"Gary Trent Jr.\trentga02,TOR,$16000000,$17280000,$18560000,,,"
"Lauri Markkanen\markkla01,CLE,$15690909,$16475454,$17259999,$18044544,,"
"Marcus Morris\morrima03,LAC,$15627907,$16372093,$17116279,,,"
"Duncan Robinson\robindu01,MIA,$15560000,$16902000,$18154000,$19406000,$19888000,"
"Norman Powell\powelno01,LAC,$15517242,$16758621,$18000000,$19241379,$20482758,"
"Dejounte Murray\murrade01,SAS,$15428571,$16571429,$17714286,,,"
"Will Barton\bartowi01,DEN,$15384615,$16615385,,,,"
"Derrick White\whitede01,BOS,$15178571,$16392857,$17607143,$18821429,,"
"Taurean Prince\princta02,MIN,$15057692,,,,,"
"Malik Beasley\beaslma01,MIN,$14391964,$15458035,$16524106,,,"
"Marcus Smart\smartma01,BOS,$14339285,$16607142,$18583713,$19960285,$21336856,"
"Patrick Beverley\beverpa01,MIN,$14320988,$13000000,,,,"
"Thaddeus Young\youngth01,TOR,$14190000,,,,,"
"Jonas Valanciunas\valanjo01,NOP,$14000000,$14700000,$15435000,,,"
"Joe Ingles\inglejo01,POR,$14000000,,,,,"
"Doug McDermott\mcderdo01,SAS,$13750000,$13750000,$13750000,,,"
"Christian Wood\woodch01,HOU,$13666667,$14317459,,,,"
"Derrick Rose\rosede01,NYK,$13445120,$14520730,$15596339,,,"
"Brook Lopez\lopezbr01,MIL,$13302325,$13906976,,,,"
"Kentavious Caldwell-Pope\caldwke01,WAS,$13038862,$14004703,,,,"
"Kyle Kuzma\kuzmaky01,WAS,$13000000,$13000000,$13000000,,,"
"Robert Covington\covinro01,LAC,$12975471,,,,,"
"Luke Kennard\kennalu01,LAC,$12727273,$13745455,$14763636,$14763636,,"
"T.J. Warren\warretj01,IND,$12690000,,,,,"
"Deandre Ayton\aytonde01,PHO,$12632950,,,,,"
"Terrence Ross\rosste01,ORL,$12500000,$11500000,,,,"
"Jordan Clarkson\clarkjo01,UTA,$12420000,$13340000,$14260000,,,"
"Dillon Brooks\brookdi01,MEM,$12200000,$11400000,,,,"
"Kelly Olynyk\olynyke01,DET,$12195122,$12804878,$12195122,,,"
"Kelly Oubre Jr.\oubreke01,CHO,$12000000,$12600000,,,,"
"Josh Hart\hartjo01,POR,$12000000,$12960000,$12960000,,,"
"Jusuf Nurkic\nurkiju01,POR,$12000000,,,,,"
"Josh Richardson\richajo01,SAS,$11615328,$12196094,,,,"
"Marvin Bagley III\baglema01,DET,$11312114,,,,,"
"Devonte' Graham\grahade01,NOP,$11000000,$11550000,$12100000,$12650000,,"
"Dwight Powell\poweldw01,DAL,$11000000,$11814815,,,,"
"Zion Williamson\willizi01,NOP,$10733400,$13534817,,,,"
"Larry Nance Jr.\nancela02,NOP,$10690909,$9672727,,,,"
"Jeremy Lamb\lambje01,SAC,$10500000,,,,,"
"Richaun Holmes\holmeri01,SAC,$10384500,$11215260,$12046020,$12876780,,"
"Reggie Jackson\jacksre01,LAC,$10384500,$11215260,,,,"
"Anthony Edwards\edwaran01,MIN,$10245480,$10733400,$13534817,,,"
"Luka Doncic\doncilu01,DAL,$10174391,$35700000,$38556000,$41412000,$44268000,$47124000"
"Cade Cunningham\cunnica01,DET,$10050120,$10552800,$11055240,$13940658,,"
""
"Danny Green\greenda02,PHI,$10000000,$10000000,,,,"
"Kyle Anderson\anderky01,MEM,$9937150,,,,,"
"Serge Ibaka\ibakase01,MIL,$9742000,,,,,"
"Jae Crowder\crowdja01,PHO,$9720900,$10183800,,,,"
"Derrick Favors\favorde01,OKC,$9720900,$10183800,,,,"
"Tristan Thompson\thomptr01,IND,$10720900,,,,,"
"Montrezl Harrell\harremo01,CHO,$9720900,,,,,"
"Derrick Jones Jr.\jonesde02,CHI,$9720900,,,,,"
"Ja Morant\moranja01,MEM,$9603360,$12119440,,,,"
"Reggie Bullock\bullore01,DAL,$9536000,$10012800,$10489600,,,"
"Alec Burks\burksal01,NYK,$9536000,$10012800,$10489600,,,"
"Talen Horton-Tucker\hortota01,LAL,$9500000,$10260000,$11020000,,,"
